id,title,company,description,salary_min,salary_max,city,keyword,search_title
5671274471,Sr. Scientist - Mobility Matching,Uber,"About the Role Have you ever wondered why it's taking so long for an earner to be matched to your trip, why the ETA is so long, or how an Earner is picked from the many around you? If so, the Mobility Matching Science team is for you! The Matching team at Uber builds the systems that determine the optimal way to fulfill trips on the Mobility platform. We work on the problems of determining which earners to send an offer to and when. The solutions we build are critical for maintaining reliabilit…",140607.2,140607.2,San Francisco,data analysis,
5614598785,Data Scientist,Amazon,"Description If you are interested in this position, please apply on Twitch's Career site https://www.twitch.tv/jobs/en/ About Us: Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It is where thousands of communities come together for whatever, every day. We're about community, inside and out. You'll find coworkers who are eager to team up, collaborate, and smash (or elegantly solve) problems toget…",246218.77,246218.77,San Francisco,data analysis,
5704029590,"Technical Consultant, Premier Success",IBM,"Introduction We are looking for someone who works as a true collaborator, is creative and innovative in finding technical solutions, and has a passion for customer success and value realization. This person should be able to help a customer execute against their vision around the practice of Technology Business Management (TBM) and FinOps. They will work in a leading and initiative-taking manner to bring actual value and ROI to their accounts. The Premier will be working across Apptio departmen…",79787.24,79787.24,San Francisco,data analysis,
5707660929,"Global Fix Experience - Service Team Analyst III, Earner",Uber,"About the Role Fix Experience is a global team that takes full ownership of production Bugs and Outages and drives them all the way to resolution in real time. The team serves two key functions while bridging the gap between our support and engineering organizations. 1) We triage agent reports of possible bugs and outages to identify system issues by deeper investigations, reproducing the issue, and escalating them to the appropriate team to drive resolution in a timely manner. 2) We also handl…",108606.51,108606.51,San Francisco,data analysis,
5709393349,"Senior Manager, Strategy and Operations",Twitch,"About Us Twitch is the world’s biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It is where thousands of communities come together for whatever, every day. We’re about community, inside and out. You’ll find coworkers who are eager to team up, collaborate, and smash (or elegantly solve) problems together. We’re on a quest to empower live communities, so if this sounds good to you, see what we’re up to on LinkedIn and X,…",190612.9,190612.9,San Francisco,data analysis,
5699738483,Product Marketing Manager – Advertising Platform (B2B),Trident Consulting,"Job Title: Product Marketing Manager – Advertising Platform (B2B) Location: San Francisco, CA Pay Rate: $66/hr on W2 Duration: 8 Months (Extension possible) Job Summary We are seeking a Product Marketing Manager to drive go-to-market strategy, product positioning, and adoption for the Client's Ads & Promotions platform. This role sits at the intersection of product, marketing, and data, focused on scaling B2B advertising solutions for enterprise customers. Key Responsibilities Lead go-to-market…",124800.0,137280.0,San Francisco,data analysis,
5692722373,Data Analyst,WGT,"Role World Golf Tour is seeking a Data Analyst to join our Product team. In this critical role, you will be the custodian of our data, organizing insights, and analyzing telemetry to support strategic business decisions. You will focus on developing and maintaining dashboards and analysis reports, collaborating across the studio and closely with the Product team to provide actionable insights that help drive the business. This role emphasizes strong data stewardship, visualization and statistic…",75000.0,125000.0,San Francisco,data analysis,
5706549210,Business Data Analyst,TEKsystems,"Description We are seeking a Product / Data Analyst to support the ""Next Best Action"" initiative. This role focuses on interpreting complex data, including outputs from data science models and LLMs, to understand how system decisions impact business outcomes and to optimize lead-flow processes. This is a highly analytical, business-focused role. While dashboards and visuals may be involved, the primary responsibility is data interpretation, decision analysis, and optimization, rather than heavy…",140202.42,140202.42,San Francisco,data analysis,
5697687337,"Epic Payer Platform Business Consultant, Senior Associate",PwC,"Specialty/Competency: Operations Industry/Sector: Health Services Time Type: Full time Travel Requirements: Up to 80% At PwC, our people in operations consulting specialise in providing consulting services on optimising operational efficiency and effectiveness. These individuals analyse client needs, develop operational strategies, and offer guidance and support to help clients streamline processes, improve productivity, and drive business performance. As an operations consulting generalist at …",164605.47,164605.47,San Francisco,data analysis,
5087151181,Consumer Insights Analysis/Market Researcher,US Tech Solutions,"San Francisco, CA Contract  In this role, you will be part of the Insights & Analytics team within the Platforms and Devices Strategy & Operations team. You will sit on the Marketing and Go to Market Insights team, driving consumer insights around our subscription's products. You will run qualitative and quantitative research, working closely with the broader Insights & Analytics team. Responsibilities:  Act as the primary point of contact for Insights with the Subscriptions and Growth team  Ru…",91393.16,91393.16,San Francisco,data analysis,
5701312674,"Senior, Data Analyst - Technical Account Management",Walmart,"Position Summary Become the foremost expert on Inscape's ACR data—knowing how it works, where it breaks, and how to adapt it for client needs. You are the bridge between our internal data teams and external clients. Internally, you partner with engineering to understand product rollouts and surface viewership trends. Externally, you are the trusted guide for data licensees and media clients—troubleshooting issues, educating on workflows, and overseeing audience segment creation. You ensure clie…",104000.0,202000.0,San Francisco,data analysis,
5671274316,"Scientist II, Consumer Experience",Uber,"About the Role Scientists at Uber use data to measure, analyze, and optimize all of Uber's products. On the Consumer Experience Science team, you'll have the opportunity to work on the Uber App experience for millions of users. We drive growth for both the mobility business and delivery business by understanding how riders use the app, delivering a seamless experience, and creating new personalized features. The Science work we do is diverse and helps to drive every stage of product development…",157089.8,157089.8,San Francisco,data analysis,
5692766899,Senior Systems Verification & Validation Engineer,Serve Robotics,"At Serve Robotics, we’re reimagining how things move in cities. Our personable sidewalk robot is our vision for the future. It’s designed to take deliveries away from congested streets, make deliveries available to more people, and benefit local businesses. The Serve fleet has been delighting merchants, customers, and pedestrians along the way in Los Angeles, Miami, Dallas, Atlanta and Chicago while doing commercial deliveries. We’re looking for talented individuals who will grow robotic delive…",185000.0,205000.0,San Francisco,data analysis,
5705713711,Senior Data Engineer / Analyst (Remote – US),Recruiting From Scratch,"Senior Data Engineer / Analyst (Remote – US) Title of Role: Senior Data Engineer / Analyst (Remote – US) Location: New York, remote Company Stage of Funding: Series B — Enterprise, B2B, Data Office Type: Remote Salary: $180K–$220K Company Description We're representing a dynamic company that serves as an end-to-end market research partner, designed to address the toughest B2B questions with confidence. With a strong focus on data-driven insights, our client is committed to empowering businesses…",180000.0,220000.0,San Francisco,data analysis,
5061354782,Software Products Quantitative UX Researcher,US Tech Solutions,"San Francisco, CA Contract Job Description:  The client is looking for a Software Products Quantitative UX Researcher for a 7 months contract position in San Francisco, CA (onsite in a hybrid model). Responsibilities  Design, execute, socialize learnings on new product experience.  Collaborate with XFN partners to identify research priorities.  Collaborate with XFN partners to apply learnings to product, design, and engineering strategy.  Conduct foundational and tactical quantitative research …",142099.88,142099.88,San Francisco,data analysis,
5679993073,Business Data Analytics Analyst,Mercor,"About the job Mercor connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include Benchmark , General Catalyst , Peter Thiel , Adam D'Angelo , Larry Summers , and Jack Dorsey . Position: Product Operations Specialist (Technical) Type: Contract Compensation: $60–$80/hour Location: Remote Role Responsibilities Support program execution strategy for multiple products and platforms. Initiate 0 to 1 efforts, accelerate execution, a…",130897.68,130897.68,San Francisco,data analysis,
5061354879,Android Product Support Program Manager,US Tech Solutions,"San Francisco, CA Contract Job Description:  This role supports the Android product line by managing launches, improving customer-facing content, analyzing support operations data, and identifying areas for improvement. Responsibilities:  Contribute to the ongoing improvement of the Android user experience by:  Managing product launches effectively.  Enhancing customer-facing content and support resources.  Analyzing user data and feedback to identify trends and opportunities.  Implementing pro…",134658.64,134658.64,San Francisco,data analysis,
5705067545,Data Scientist,Recruiting From Scratch,"Data Scientist Title of Role: Data Scientist Location: South Bay Area, onsite Company Stage of Funding: Venture-Backed — Generative AI Office Type: Onsite Salary: $160K–$225K Company Description We're representing a dynamic company at the forefront of the Generative AI industry, focused on building innovative AI agents that autonomously transform data into growth opportunities for businesses. This company is committed to leveraging cutting-edge technology to drive impactful solutions in the mar…",160000.0,225000.0,San Francisco,data analysis,
5705045314,Market Analyst,Recruiting From Scratch,"Market Analyst Title of Role: Market Analyst Location: South Bay Area, hybrid Company Stage of Funding: Venture-Backed — AI, Venture Capital, Insurance, Edtech, Financial Services, Data, Enterprise Office Type: Hybrid Salary: $200K–$300K Company Description We're representing a dynamic company that incubates and builds AI-focused products in-house across various sectors, including education, healthcare, and financial services. Once these products reach maturity, they are spun out as independent…",200000.0,300000.0,San Francisco,data analysis,
5671274353,"Senior Scientist, Rider Experience",Uber,"About the Role Scientists at Uber use data to measure, analyze, and optimize all of Uber's products. On the Rider Experience Science team, you'll have the opportunity to work on the core mobility business and influence the experience for millions of riders. We drive growth in the mobility business by understanding how riders use the app, delivering a seamless experience, and creating new personalized features. The Science work we do is diverse and helps to drive every stage of product developme…",107638.08,107638.08,San Francisco,data analysis,
5657688332,"Sr. Analyst, Distribution & Logistics Analytics",Levi Strauss,"Calling all originals: At Levi Strauss & Co., you can be yourself — and be part of something bigger. We're a company of people who like to forge our own path and leave the world better than we found it. Who believe that what makes us different makes us stronger. So add your voice. Make an impact. Find your fit — and your future. Our Sr. Analyst uses analytical methods and a variety of tools to improve Distribution and Logistics operations. You will be responsible for data management, analyzing …",92000.0,135000.0,San Francisco,data analysis,
5700680242,Sr. Financial Analyst,Robert Half,"Description We are looking for an experienced Senior Financial Analyst to join our team on a long-term contract basis in San Francisco, California. In this role, you will play a pivotal part in driving financial insights, supporting business decisions, and contributing to the organization's financial growth. This is an excellent opportunity for candidates with strong attention to detail, analytical, and modeling skills. Responsibilities: - Perform in-depth financial analysis to evaluate busines…",88316.68,88316.68,San Francisco,data analysis,
5515222570,Senior Experimentation & Causal Inference Specialist,US Tech Solutions,"$72-$88 per hour San Francisco, CA Contract Job Description:  We are seeking a highly hands-on analytics professional to support global marketing measurement initiatives for a large-scale consumer technology platform having direct influence on marketing investment strategy.  This role will play a critical part in proving the causal impact of marketing efforts and guiding investment decisions across key international markets.  You will join a lean, high-impact global team, working on complex exp…",120340.34,120340.34,San Francisco,data analysis,
